ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer,Scored Labels,Scored Probabilities,ID (2),Latitude,Longitude,City,Zip Code,Country
13835,Single,Female,20000,0,High School,Manual,No,1,1-2 Miles,Europe,30,No,No,0.00813751574605703,13835,57.61638,47.79779,Brive-la-Gaillarde,25873,France
12491,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,No,No,0.00152134045492858,12491,-47.04237,-31.85349,Salisbury,DW6D 2CR,United Kingdom
16254,Single,Female,20000,1,Partial College,Manual,No,1,2-5 Miles,Europe,39,No,No,0.00203777314163744,16254,-45.44002,129.02559,Caen,27964,France
13781,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,No,No,0.203753098845482,13781,80.87765,157.02091,Llangollen,ET2 0KW,United Kingdom
28881,Married,Male,110000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,50,No,No,0.00011299537436571,28881,-59.15816,144.8104,Bastia,99302,France
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No,No,0.0288530699908733,20927,18.36838,-176.06515,Pembroke,K2V 2LO,United Kingdom
22477,Single,Male,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,No,0.142066180706024,22477,-39.44704,0.15474,Warminster,JB4D 4DL,United Kingdom
12656,Married,Male,90000,1,High School,Management,Yes,3,10+ Miles,Europe,57,No,No,0.00291198049671948,12656,81.43426,100.61993,Inverbervie,SF4H 6LX,United Kingdom
12227,Married,Female,10000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,No,No,0.001348543795757,12227,83.52652,-153.19509,Perpignan,14208,France
26847,Single,Male,20000,3,High School,Manual,No,0,0-1 Miles,Europe,42,No,No,0.00103776343166828,26847,-76.53481,-29.33395,Cannock,XL9M 2MJ,United Kingdom
17832,Married,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,43,No,No,0.0718140006065369,17832,53.23846,113.5382,King's Lynn,BJ2Q 7HP,United Kingdom
13547,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,No,No,0.00571771385148168,13547,66.29351,-132.8838,Bremen,7683,Germany
14942,Single,Female,30000,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,40,No,No,0.0119620561599731,14942,-14.65798,-80.28833,Saint-L�,33736,France
29396,Married,Male,30000,0,Bachelors,Skilled Manual,No,1,0-1 Miles,Europe,72,No,No,0.000694095913786441,29396,84.11316,-110.80185,Schwerin,221,Germany
27844,Married,Male,10000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,No,No,1.27569978758402E-06,27844,56.68285,-43.91865,Hastings,OQ6O 6CW,United Kingdom
15091,Married,Male,20000,1,Partial College,Manual,Yes,0,2-5 Miles,Europe,38,No,No,0.00489716744050384,15091,-59.9787,-154.83386,Wei?enfels,59590,Germany
25656,Married,Female,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,44,Yes,Yes,0.997421443462372,25656,69.9783,-157.58289,Hornsea,O88 6CY,United Kingdom
14826,Married,Female,20000,4,High School,Manual,No,2,0-1 Miles,Europe,27,No,No,3.99265481973998E-05,14826,-79.28253,110.72508,Blieskastel,43806,Germany
17806,Married,Male,20000,2,High School,Manual,No,2,0-1 Miles,Europe,42,No,No,4.25197613367345E-05,17806,78.71724,168.34363,Hexham,E1Z 5MT,United Kingdom
25807,Married,Female,90000,0,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,No,No,3.20312283292878E-05,25807,52.47479,-54.88831,Ahrensburg,47409,Germany
19513,Married,Male,20000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,No,No,0.000274699734291062,19513,26.95206,-31.52857,Chesterfield,HO6 5MR,United Kingdom
27851,Married,Female,20000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,68,No,No,1.24202533697826E-05,27851,-60.73597,-118.02461,Belfort,97097,France
15095,Married,Female,70000,1,High School,Professional,No,2,2-5 Miles,Europe,61,Yes,No,0.000219263747567311,15095,-80.54552,-68.68383,Alva,FZ0 6WU,United Kingdom
19485,Single,Male,30000,2,Partial College,Clerical,Yes,1,0-1 Miles,Europe,41,No,No,0.0231268964707851,19485,20.7379,-95.91451,Belfort,56660,France
19935,Married,Male,100000,4,Partial College,Professional,Yes,4,10+ Miles,Europe,54,No,No,0.000110064676846378,19935,-55.76986,-142.15312,Albi,73876,France
12525,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,1-2 Miles,Europe,31,No,No,0.41536009311676,12525,62.0681,157.2949,Osnabr?ck,97703,Germany
28498,Single,Female,10000,1,High School,Manual,No,1,2-5 Miles,Europe,47,No,No,0.000572630378883332,28498,-68.09428,26.29223,Tranent,B48 5BY,United Kingdom
